"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 31, 2019","333.98","338.34","338.34","328.59","-","-1.54%"
"Jan 30, 2019","339.20","336.71","341.85","335.72","-","1.02%"
"Jan 29, 2019","335.79","332.69","336.56","332.64","-","1.01%"
"Jan 28, 2019","332.44","331.06","332.44","329.34","-","-0.08%"
"Jan 25, 2019","332.71","330.20","334.44","330.20","-","1.92%"
"Jan 24, 2019","326.45","327.19","328.46","325.14","-","-0.56%"
"Jan 23, 2019","328.28","331.05","331.45","325.20","-","-0.65%"
"Jan 22, 2019","330.42","334.62","334.62","328.67","-","-1.37%"
"Jan 18, 2019","335.00","330.87","336.70","330.68","-","1.64%"
"Jan 17, 2019","329.60","323.53","330.32","323.53","-","1.68%"
"Jan 16, 2019","324.14","322.71","325.64","322.25","-","0.41%"
"Jan 15, 2019","322.82","322.32","324.50","320.77","-","-0.65%"
"Jan 14, 2019","324.92","325.41","326.69","322.96","-","-0.77%"
"Jan 11, 2019","327.44","327.39","328.23","325.41","-","-0.40%"
"Jan 10, 2019","328.76","324.34","328.93","323.25","-","0.87%"
"Jan 09, 2019","325.92","325.58","327.15","322.80","-","0.08%"
"Jan 08, 2019","325.66","323.50","326.31","322.21","-","1.01%"
"Jan 07, 2019","322.39","321.33","326.17","319.40","-","0.32%"
"Jan 04, 2019","321.35","312.62","322.49","312.62","-","3.91%"
"Jan 03, 2019","309.26","316.52","316.54","308.59","-","-2.76%"
"Jan 02, 2019","318.05","313.86","319.35","311.59","-","0.45%"
"Dec 31, 2018","316.62","315.08","317.08","313.14","-","0.80%"
"Dec 28, 2018","314.10","317.33","318.98","312.92","-","-0.60%"
"Dec 27, 2018","316.01","306.49","316.01","305.23","-","1.85%"
"Dec 26, 2018","310.28","297.76","310.28","295.03","-","4.62%"
"Dec 24, 2018","296.58","303.55","304.78","296.58","-","-2.66%"
"Dec 21, 2018","304.67","307.75","314.00","304.51","-","-0.95%"
"Dec 20, 2018","307.59","310.11","313.82","304.36","-","-1.28%"
"Dec 19, 2018","311.57","316.44","322.06","310.22","-","-1.29%"
"Dec 18, 2018","315.65","316.28","319.43","313.80","-","0.56%"
"Dec 17, 2018","313.88","319.84","321.93","311.78","-","-1.87%"
"Dec 14, 2018","319.86","321.16","322.91","318.44","-","-0.82%"
"Dec 13, 2018","322.51","326.54","328.22","321.22","-","-1.13%"
"Dec 12, 2018","326.21","325.47","329.92","325.47","-","0.95%"
"Dec 11, 2018","323.13","329.15","331.89","321.91","-","-0.37%"
"Dec 10, 2018","324.34","323.62","325.71","318.29","-","0.30%"
"Dec 07, 2018","323.38","332.28","336.88","322.47","-","-2.54%"
"Dec 06, 2018","331.81","333.70","333.70","323.57","-","-1.36%"
"Dec 04, 2018","336.38","346.55","347.04","335.99","-","-3.08%"
"Dec 03, 2018","347.07","347.12","350.49","343.25","-","1.75%"
"Nov 30, 2018","341.11","338.29","341.83","338.19","-","0.43%"
"Nov 29, 2018","339.66","337.58","341.75","336.59","-","0.55%"
"Nov 28, 2018","337.80","333.75","337.83","329.21","-","1.47%"
"Nov 27, 2018","332.89","335.39","336.19","330.64","-","-1.25%"
"Nov 26, 2018","337.09","334.16","338.20","334.16","-","1.19%"
"Nov 23, 2018","333.11","333.85","335.43","332.25","-","-1.10%"
"Nov 21, 2018","336.80","335.08","340.05","335.01","-","0.84%"
"Nov 20, 2018","333.99","337.47","337.63","332.47","-","-1.86%"
"Nov 19, 2018","340.32","345.08","346.49","339.47","-","-1.40%"
