"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 09, 2009","351.63","347.88","355.60","347.88","272.56M","1.08%"
"Jul 08, 2009","347.88","348.31","351.97","342.25","347.44M","-0.12%"
"Jul 07, 2009","348.31","357.08","357.16","347.78","280.48M","-2.46%"
"Jul 06, 2009","357.08","361.26","361.26","348.64","314.36M","-1.16%"
"Jul 02, 2009","361.26","374.67","374.67","360.18","242.46M","-3.58%"
"Jul 01, 2009","374.67","373.84","381.94","373.84","240.18M","0.22%"
"Jun 30, 2009","373.84","376.73","380.26","368.46","280.96M","-0.77%"
"Jun 29, 2009","376.73","371.76","379.17","371.76","242.84M","1.33%"
"Jun 26, 2009","371.78","375.47","375.47","370.76","290.13M","-0.99%"
"Jun 25, 2009","375.49","367.32","376.46","366.24","286.39M","2.22%"
"Jun 24, 2009","367.32","367.22","373.81","365.67","258.60M","0.03%"
"Jun 23, 2009","367.22","364.46","369.76","362.16","274.38M","0.76%"
"Jun 22, 2009","364.46","382.06","382.06","364.23","310.86M","-4.61%"
"Jun 19, 2009","382.06","385.37","388.52","379.07","329.41M","-0.86%"
"Jun 18, 2009","385.37","386.01","390.12","383.54","235.52M","-0.17%"
"Jun 17, 2009","386.01","391.47","391.47","381.90","312.58M","-1.39%"
"Jun 16, 2009","391.47","399.34","403.97","390.98","262.65M","-1.97%"
"Jun 15, 2009","399.34","408.76","408.76","394.93","247.05M","-2.30%"
"Jun 12, 2009","408.76","412.73","412.73","404.25","232.11M","-0.97%"
"Jun 11, 2009","412.75","405.55","418.25","405.55","314.06M","1.77%"
"Jun 10, 2009","405.58","402.66","409.57","399.31","276.70M","0.72%"
"Jun 09, 2009","402.69","399.30","405.19","398.62","233.01M","0.85%"
"Jun 08, 2009","399.30","399.19","402.02","391.94","240.08M","0.00%"
"Jun 05, 2009","399.30","401.98","405.92","394.87","289.90M","-0.67%"
"Jun 04, 2009","401.98","394.07","403.11","394.07","332.41M","2.01%"
"Jun 03, 2009","394.07","407.68","407.68","389.25","351.98M","-3.34%"
"Jun 02, 2009","407.69","407.52","409.35","403.78","296.45M","0.04%"
"Jun 01, 2009","407.52","392.12","409.22","392.12","306.58M","3.90%"
"May 29, 2009","392.21","387.77","394.88","387.77","282.79M","1.15%"
"May 28, 2009","387.77","376.47","390.75","375.99","284.96M","3.00%"
"May 27, 2009","376.47","381.57","386.94","375.66","239.70M","-1.34%"
"May 26, 2009","381.57","373.69","381.93","367.18","247.03M","2.11%"
"May 22, 2009","373.69","372.84","379.72","372.84","181.97M","0.22%"
"May 21, 2009","372.87","383.54","383.54","369.86","244.48M","-2.85%"
"May 20, 2009","383.80","383.76","394.04","382.90","287.05M","0.01%"
"May 19, 2009","383.76","382.42","387.18","381.11","239.84M","0.35%"
"May 18, 2009","382.42","370.90","382.89","370.90","241.19M","3.09%"
"May 15, 2009","370.96","378.93","379.33","368.25","259.74M","-2.23%"
"May 14, 2009","379.42","378.27","382.11","373.19","255.27M","0.30%"
"May 13, 2009","378.27","389.67","389.67","376.10","308.93M","-2.95%"
"May 12, 2009","389.75","385.47","391.66","382.41","322.96M","1.11%"
"May 11, 2009","385.47","397.27","397.27","382.76","252.60M","-3.16%"
"May 08, 2009","398.04","382.19","400.84","382.19","336.20M","4.15%"
"May 07, 2009","382.19","386.12","393.71","377.50","344.02M","-1.02%"
"May 06, 2009","386.14","372.69","387.38","372.69","320.79M","3.61%"
"May 05, 2009","372.69","377.66","377.66","368.18","269.85M","-1.32%"
"May 04, 2009","377.66","366.87","378.16","366.87","306.38M","2.94%"
"May 01, 2009","366.87","356.02","368.64","355.34","265.65M","3.04%"
"Apr 30, 2009","356.03","363.57","365.59","351.83","315.51M","-2.08%"
"Apr 29, 2009","363.59","353.75","366.31","353.75","295.17M","2.77%"
"Apr 28, 2009","353.80","351.95","357.93","347.56","250.19M","0.52%"
"Apr 27, 2009","351.96","358.37","358.37","348.43","262.02M","-1.79%"
"Apr 24, 2009","358.37","349.13","360.66","349.13","326.28M","2.65%"
"Apr 23, 2009","349.13","342.90","349.26","342.27","320.64M","1.82%"
"Apr 22, 2009","342.90","347.78","349.45","342.02","314.39M","-1.40%"
"Apr 21, 2009","347.78","340.49","348.01","337.28","319.12M","2.14%"
"Apr 20, 2009","340.49","356.05","356.05","339.82","291.06M","-4.38%"
"Apr 17, 2009","356.07","354.14","358.49","352.54","291.13M","0.54%"
"Apr 16, 2009","354.14","353.50","356.79","347.96","264.75M","0.18%"
"Apr 15, 2009","353.50","352.53","354.63","348.40","260.44M","0.28%"
"Apr 14, 2009","352.53","354.63","357.06","348.59","293.08M","-0.60%"
"Apr 13, 2009","354.65","359.20","359.20","348.09","238.85M","-1.27%"
"Apr 09, 2009","359.20","351.32","360.93","351.32","255.86M","2.24%"
"Apr 08, 2009","351.32","347.59","354.04","341.45","256.73M","1.07%"
"Apr 07, 2009","347.59","357.40","357.40","345.33","227.91M","-2.74%"
"Apr 06, 2009","357.40","363.48","363.48","352.02","255.45M","-1.67%"
"Apr 03, 2009","363.48","358.31","365.81","355.53","288.00M","1.44%"
"Apr 02, 2009","358.31","346.40","363.56","346.40","330.03M","3.44%"
"Apr 01, 2009","346.40","339.68","347.76","331.84","291.25M","1.98%"
"Mar 31, 2009","339.68","341.35","346.90","338.80","316.28M","-0.49%"
"Mar 30, 2009","341.35","352.97","352.97","335.99","284.90M","-3.29%"
"Mar 27, 2009","352.98","362.67","362.67","350.55","272.17M","-2.68%"
"Mar 26, 2009","362.70","359.42","366.73","357.53","442.24M","0.91%"
"Mar 25, 2009","359.42","357.64","364.68","349.98","339.33M","0.50%"
"Mar 24, 2009","357.64","365.55","365.55","355.64","287.35M","-2.16%"
"Mar 23, 2009","365.55","339.11","365.83","339.11","372.36M","7.80%"
"Mar 20, 2009","339.11","351.94","354.54","337.83","403.10M","-3.65%"
"Mar 19, 2009","351.94","347.21","360.79","347.21","405.73M","1.36%"
"Mar 18, 2009","347.21","344.30","350.76","331.98","369.73M","0.85%"
"Mar 17, 2009","344.30","332.76","344.44","329.39","293.96M","3.47%"
"Mar 16, 2009","332.76","330.09","339.91","328.13","304.10M","0.81%"
"Mar 13, 2009","330.09","332.47","334.50","325.82","329.64M","-0.72%"
"Mar 12, 2009","332.48","323.25","333.58","321.91","337.33M","2.84%"
"Mar 11, 2009","323.29","327.12","331.26","318.55","314.01M","-1.18%"
"Mar 10, 2009","327.15","310.92","329.20","310.92","397.34M","5.22%"
"Mar 09, 2009","310.92","309.33","319.82","305.66","336.58M","0.51%"
"Mar 06, 2009","309.35","304.72","317.29","299.07","383.89M","1.49%"
"Mar 05, 2009","304.81","320.01","320.01","302.78","366.23M","-4.75%"
"Mar 04, 2009","320.01","307.31","325.70","307.31","393.25M","4.13%"
"Mar 03, 2009","307.32","306.53","316.02","304.96","392.87M","0.26%"
"Mar 02, 2009","306.53","327.54","327.54","306.30","410.47M","-6.41%"
"Feb 27, 2009","327.54","337.64","338.91","326.74","399.07M","-3.00%"
"Feb 26, 2009","337.67","338.40","349.78","337.31","342.95M","-0.22%"
"Feb 25, 2009","338.41","340.86","346.01","331.62","634.29M","-0.72%"
"Feb 24, 2009","340.86","325.59","341.98","325.59","417.75M","4.69%"
"Feb 23, 2009","325.59","339.35","346.99","324.57","360.00M","-4.05%"
"Feb 20, 2009","339.35","347.89","347.89","332.74","422.71M","-2.45%"
"Feb 19, 2009","347.89","346.98","353.42","346.08","354.62M","0.19%"
"Feb 18, 2009","347.24","347.87","352.29","344.00","359.02M","-0.18%"
"Feb 17, 2009","347.87","371.31","371.31","347.80","361.40M","-6.31%"
"Feb 13, 2009","371.31","371.72","376.82","369.63","271.74M","-0.15%"
"Feb 12, 2009","371.87","371.12","372.34","359.92","336.08M","0.07%"
"Feb 11, 2009","371.62","376.36","381.43","365.18","338.84M","-1.28%"
"Feb 10, 2009","376.42","395.06","398.69","373.54","372.55M","-4.72%"
"Feb 09, 2009","395.06","394.55","401.56","391.02","300.84M","0.12%"
"Feb 06, 2009","394.58","388.05","395.63","383.18","312.68M","1.49%"
"Feb 05, 2009","388.80","378.72","389.76","373.78","363.63M","2.65%"
"Feb 04, 2009","378.75","377.54","384.39","375.85","336.44M","0.32%"
"Feb 03, 2009","377.54","370.61","379.39","370.11","309.97M","1.87%"
"Feb 02, 2009","370.61","374.14","374.14","366.63","308.73M","-0.94%"
"Jan 30, 2009","374.14","378.85","386.61","373.49","357.58M","-1.24%"
"Jan 29, 2009","378.85","393.62","393.62","377.91","318.60M","-3.75%"
"Jan 28, 2009","393.63","384.82","394.80","383.11","366.50M","2.29%"
"Jan 27, 2009","384.82","384.02","387.48","378.59","333.70M","0.21%"
"Jan 26, 2009","384.02","378.38","392.74","378.38","348.13M","1.49%"
"Jan 23, 2009","378.38","370.22","382.39","359.51","357.78M","2.20%"
"Jan 22, 2009","370.22","379.13","379.13","362.40","347.30M","-2.35%"
"Jan 21, 2009","379.13","358.19","379.94","358.19","355.30M","5.85%"
"Jan 20, 2009","358.19","375.22","377.30","357.08","356.16M","-4.54%"
"Jan 16, 2009","375.24","370.98","380.66","367.21","351.15M","1.15%"
"Jan 15, 2009","370.98","366.96","371.45","355.65","387.46M","1.10%"
"Jan 14, 2009","366.96","383.41","383.41","362.89","340.53M","-4.29%"
