"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2008","102.34","107.27","108.26","101.38","136.32M","-4.60%"
"Nov 05, 2008","107.27","114.76","114.76","106.74","130.86M","-6.53%"
"Nov 04, 2008","114.76","109.06","116.59","109.06","135.52M","5.23%"
"Nov 03, 2008","109.06","104.04","109.93","104.04","121.28M","4.83%"
"Oct 31, 2008","104.04","105.23","109.91","104.04","169.06M","-1.13%"
"Oct 30, 2008","105.23","104.37","108.29","102.74","136.48M","0.82%"
"Oct 29, 2008","104.37","107.96","108.42","103.01","162.09M","-3.33%"
"Oct 28, 2008","107.96","95.30","107.96","95.30","170.76M","13.28%"
"Oct 27, 2008","95.30","93.78","98.87","93.04","136.75M","1.62%"
"Oct 24, 2008","93.78","97.03","97.03","90.57","157.57M","-3.35%"
"Oct 23, 2008","97.03","93.69","99.43","92.58","170.62M","3.56%"
"Oct 22, 2008","93.69","101.50","101.50","91.11","150.58M","-7.69%"
"Oct 21, 2008","101.50","105.50","106.12","100.68","126.56M","-3.79%"
"Oct 20, 2008","105.50","99.04","105.67","99.04","127.32M","6.52%"
"Oct 17, 2008","99.04","99.71","103.91","95.74","147.66M","-0.67%"
"Oct 16, 2008","99.71","96.73","100.49","93.38","167.18M","3.08%"
"Oct 15, 2008","96.73","105.43","105.43","96.73","147.67M","-8.25%"
"Oct 14, 2008","105.43","104.16","111.30","103.33","161.32M","1.22%"
"Oct 13, 2008","104.16","91.53","104.16","91.53","156.12M","13.80%"
"Oct 10, 2008","91.53","92.75","98.79","84.57","258.18M","-1.32%"
"Oct 09, 2008","92.75","99.93","101.64","92.30","186.26M","-7.19%"
"Oct 08, 2008","99.93","102.53","104.98","98.71","201.32M","-3.81%"
"Oct 07, 2008","103.89","108.64","111.48","103.89","189.64M","-4.37%"
"Oct 06, 2008","108.64","113.84","113.84","105.34","204.60M","-4.57%"
"Oct 03, 2008","113.84","113.83","117.60","113.49","166.95M","0.01%"
"Oct 02, 2008","113.83","115.19","116.62","112.95","127.64M","-1.18%"
"Oct 01, 2008","115.19","114.99","116.20","112.05","142.37M","0.17%"
"Sep 30, 2008","114.99","112.82","117.62","112.82","154.86M","1.92%"
"Sep 29, 2008","112.82","121.35","121.35","112.10","145.57M","-7.03%"
"Sep 26, 2008","121.35","121.36","121.58","118.81","83.02M","-0.04%"
"Sep 25, 2008","121.40","117.22","123.07","117.22","118.11M","3.57%"
"Sep 24, 2008","117.22","116.54","117.78","115.39","99.31M","0.58%"
"Sep 23, 2008","116.54","118.64","120.98","116.11","116.50M","-1.77%"
"Sep 22, 2008","118.64","124.17","124.17","117.69","114.37M","-4.45%"
"Sep 19, 2008","124.17","119.26","125.28","119.26","171.28M","4.12%"
"Sep 18, 2008","119.26","115.76","119.91","112.17","217.86M","3.02%"
"Sep 17, 2008","115.76","121.43","121.43","114.82","188.25M","-4.67%"
"Sep 16, 2008","121.43","122.15","122.46","118.40","166.32M","-0.59%"
"Sep 15, 2008","122.15","128.01","128.01","122.15","147.60M","-4.58%"
"Sep 12, 2008","128.01","128.09","128.10","125.40","106.57M","-0.06%"
"Sep 11, 2008","128.09","128.23","128.31","125.27","143.85M","-0.11%"
"Sep 10, 2008","128.23","131.65","131.76","128.12","157.46M","-2.60%"
"Sep 09, 2008","131.65","132.04","134.14","131.55","139.94M","-0.30%"
"Sep 08, 2008","132.04","128.21","132.11","128.21","117.72M","2.99%"
"Sep 05, 2008","128.21","128.74","128.74","126.56","103.07M","-0.49%"
"Sep 04, 2008","128.84","133.32","133.33","128.82","124.83M","-3.36%"
"Sep 03, 2008","133.32","133.21","134.18","132.52","102.47M","0.08%"
"Sep 02, 2008","133.21","131.71","136.01","131.71","90.86M","1.14%"
"Aug 29, 2008","131.71","132.92","134.49","131.71","77.56M","-0.91%"
"Aug 28, 2008","132.92","129.65","133.14","129.65","75.09M","2.52%"
"Aug 27, 2008","129.65","127.56","130.19","127.56","58.35M","1.64%"
"Aug 26, 2008","127.56","127.66","128.04","126.61","62.42M","-0.08%"
"Aug 25, 2008","127.66","130.56","130.56","127.34","60.45M","-2.22%"
"Aug 22, 2008","130.56","128.44","131.17","128.44","70.89M","1.65%"
"Aug 21, 2008","128.44","128.21","128.77","126.84","85.08M","0.18%"
"Aug 20, 2008","128.21","128.19","129.37","126.90","78.02M","0.02%"
"Aug 19, 2008","128.19","130.56","130.56","127.62","96.15M","-1.82%"
"Aug 18, 2008","130.56","131.87","132.89","129.99","92.50M","-0.99%"
"Aug 15, 2008","131.87","129.70","132.50","129.70","108.47M","1.67%"
"Aug 14, 2008","129.70","129.46","130.62","127.29","89.87M","0.19%"
